<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
Overall Index,20091004,11679.60,11733.40,11679.60,11717.30,224368884
Overall Index,20091005,11728.70,11738.20,11728.70,11738.20,163666703
Overall Index,20091006,11760.00,11792.80,11737.40,11792.80,162739488
Overall Index,20091007,11822.30,11891.10,11822.30,11891.10,135981973
Overall Index,20091010,11920.80,11962.50,11920.80,11957.90,174881498
Overall Index,20091011,11963.30,11963.90,11925.20,11925.40,268445276
Overall Index,20091012,11940.30,11940.30,11912.30,11912.30,266983782
Overall Index,20091013,11900.40,11927.60,11893.60,11918.30,195138366
Overall Index,20091017,11923.90,11924.60,11905.60,11917.80,93096167
Overall Index,20091018,11927.10,11927.40,11914.10,11914.10,150217105
Overall Index,20091019,11919.90,11977.10,11919.90,11976.40,733693184
Overall Index,20091020,12012.00,12077.30,12012.00,12077.30,195831153
Overall Index,20091021,12111.20,12177.60,12111.20,12176.30,123466088
Overall Index,20091024,12200.30,12243.60,12200.30,12242.80,173731148
Overall Index,20091025,12267.00,12325.80,12266.30,12325.80,143500650
Overall Index,20091026,12325.50,12342.60,12308.90,12342.60,316888496
Overall Index,20091027,12354.90,12356.00,12328.40,12345.10,146043758
Overall Index,20091028,12348.20,12408.40,12342.90,12408.40,143371148
Overall Index,20091031,12427.90,12491.20,12427.90,12482.40,117885944
Overall Index,20091101,12505.60,12545.00,12505.60,12545.00,142239650
Overall Index,20091102,12529.30,12537.90,12515.50,12529.50,353981617
Overall Index,20091103,12514.60,12514.60,12483.60,12483.60,146879227
Overall Index,20091104,12494.40,12531.30,12477.00,12506.00,178275406
Overall Index,20091107,12524.80,12581.50,12524.80,12576.90,143771292
Overall Index,20091108,12584.50,12584.50,12547.20,12565.90,272878479
Overall Index,20091109,12593.90,12633.60,12581.50,12581.50,180012897
Overall Index,20091110,12566.20,12566.20,12426.10,12426.10,120574061
Overall Index,20091111,12417.80,12423.50,12379.20,12381.40,173085005
Overall Index,20091114,12416.90,12442.10,12402.70,12403.10,118169715
Overall Index,20091115,12432.30,12441.90,12361.70,12361.70,179667661
Overall Index,20091116,12372.60,12373.20,12325.30,12325.40,141351286
Overall Index,20091117,12319.60,12319.60,12241.50,12241.90,207081137
Overall Index,20091118,12231.80,12231.80,12174.00,12176.40,109837906
Overall Index,20091121,12175.30,12175.30,12086.70,12086.70,95913578
Overall Index,20091122,12065.00,12065.00,12003.00,12003.00,70603627
Overall Index,20091123,11982.90,11996.40,11976.30,11996.30,168924731
Overall Index,20091124,12002.30,12072.60,12002.30,12072.60,110786502
Overall Index,20091125,12083.90,12125.10,12083.90,12113.40,199777729
Overall Index,20091129,12104.90,12104.90,12027.60,12027.60,46862742
Overall Index,20091130,12013.30,12013.30,11964.80,11964.90,45709448
Overall Index,20091201,11955.00,11957.80,11928.90,11928.90,90285138
Overall Index,20091202,11922.90,11937.50,11914.60,11914.60,174708614
Overall Index,20091205,11903.40,11905.00,11901.30,11905.00,45420003
Overall Index,20091207,11913.80,11946.40,11913.80,11944.50,74558639
Overall Index,20091208,11946.00,11948.00,11909.60,11909.60,49420338
Overall Index,20091209,11908.40,11908.40,11836.10,11836.30,62245083
Overall Index,20091212,11827.10,11827.10,11753.10,11753.10,58909129
Overall Index,20091213,11731.00,11731.00,11677.40,11677.40,67076167
Overall Index,20091214,11670.60,11674.00,11629.00,11629.10,51705628
Overall Index,20091215,11608.00,11608.00,11359.40,11362.50,57535901
Overall Index,20091216,11352.20,11352.20,11254.70,11265.30,65160799
Overall Index,20091219,11226.60,11226.60,11195.80,11209.60,63701196
Overall Index,20091220,11205.00,11255.70,11201.30,11255.70,119924118
Overall Index,20091221,11277.60,11289.50,11243.60,11274.90,111043421
Overall Index,20091222,11276.40,11277.00,11234.60,11234.60,90768639
Overall Index,20091223,11223.50,11229.80,11220.10,11221.30,72087840
Overall Index,20091228,11223.80,11228.50,11196.90,11196.90,50090757
Overall Index,20091229,11195.60,11195.60,11178.50,11178.50,47204550
Overall Index,20091230,11180.10,11207.50,11180.10,11207.50,49605347
Overall Index,20100102,11208.50,11295.20,11208.50,11295.20,60896653
Overall Index,20100103,11323.30,11366.20,11323.30,11351.10,114461675
Overall Index,20100104,11346.50,11346.50,11305.10,11305.10,61449150
Overall Index,20100105,11301.80,11325.50,11301.80,11307.40,71811764
Overall Index,20100106,11318.90,11375.40,11318.90,11375.40,99254905
Overall Index,20100109,11379.60,11449.70,11379.60,11449.60,429407966
Overall Index,20100110,11478.10,11592.60,11478.10,11592.30,223412973
Overall Index,20100111,11595.30,11658.90,11591.00,11656.80,124379073
Overall Index,20100112,11683.70,11685.40,11646.20,11646.20,103456954
Overall Index,20100113,11644.00,11644.00,11598.40,11599.90,92521763
Overall Index,20100116,11601.80,11625.30,11601.80,11614.90,98448731
Overall Index,20100117,11627.00,11640.30,11620.70,11620.70,78153960
Overall Index,20100118,11619.00,11619.00,11584.00,11584.00,45248638
Overall Index,20100119,11587.60,11587.60,11567.90,11569.20,44018920
Overall Index,20100120,11567.80,11572.90,11566.80,11569.20,58259151
Overall Index,20100123,11569.80,11617.90,11569.80,11617.80,73506264
Overall Index,20100124,11627.20,11685.50,11627.20,11684.90,93333057
Overall Index,20100125,11699.30,11720.60,11699.30,11705.10,445619815
Overall Index,20100126,11710.70,11769.20,11710.70,11752.50,107587956
Overall Index,20100127,11763.70,11810.10,11763.70,11802.90,119204547
Overall Index,20100130,11775.90,11775.90,11736.40,11750.10,112657334
Overall Index,20100131,11749.80,11751.40,11724.70,11724.70,237608985
Overall Index,20100201,11727.20,11730.00,11709.60,11709.60,88697347
Overall Index,20100202,11719.30,11724.40,11719.30,11721.30,60425186
Overall Index,20100203,11737.10,11763.20,11737.10,11751.70,73980704
Overall Index,20100206,11751.50,11751.50,11715.50,11715.50,73631665
Overall Index,20100207,11704.30,11708.30,11686.10,11686.30,96447538
Overall Index,20100208,11684.40,11684.40,11666.70,11666.80,85408487
Overall Index,20100209,11664.60,11669.40,11660.60,11660.70,60620921
Overall Index,20100210,11663.80,11694.70,11663.80,11694.10,85678765
Overall Index,20100214,11696.40,11760.90,11696.40,11760.00,83930214
Overall Index,20100216,11786.00,11826.50,11782.60,11789.70,117257984
Overall Index,20100217,11787.70,11787.70,11774.20,11774.20,108357032
Overall Index,20100220,11777.50,11822.30,11777.50,11819.00,112804664
Overall Index,20100221,11834.00,11931.40,11834.00,11929.00,112394672
Overall Index,20100222,11950.40,12008.60,11950.40,12008.60,245334910
Overall Index,20100223,12027.50,12028.00,12010.20,12010.20,164816248
Overall Index,20100224,12004.80,12004.80,11991.60,11993.20,99471983
Overall Index,20100227,11982.90,11982.90,11962.80,11963.50,75002420
Overall Index,20100228,11977.90,12015.00,11977.90,12009.00,89157986
Overall Index,20100301,12018.60,12052.90,12018.60,12048.90,77879058
Overall Index,20100302,12071.00,12116.10,12071.00,12111.10,120970786
Overall Index,20100303,12131.00,12140.10,12126.30,12133.40,90952002
Overall Index,20100306,12168.90,12222.70,12168.90,12221.30,133647392
Overall Index,20100307,12249.80,12254.80,12243.30,12248.90,122545567
Overall Index,20100308,12266.50,12308.50,12266.50,12307.20,120332765
Overall Index,20100309,12324.00,12429.10,12324.00,12429.10,175430903
Overall Index,20100310,12444.70,12456.00,12444.70,12446.80,100725271
Overall Index,20100313,12443.30,12451.10,12440.40,12440.50,139623330
Overall Index,20100314,12446.90,12581.30,12446.90,12549.10,138358014
Overall Index,20100315,12551.80,12568.30,12533.50,12533.60,156932283
Overall Index,20100316,12534.10,12534.10,12499.70,12499.70,87984066
Overall Index,20100317,12502.90,12537.50,12502.70,12536.70,118551848
Overall Index,20100327,12548.80,12614.50,12548.80,12613.90,45137686
Overall Index,20100328,12625.50,12732.80,12625.50,12732.10,75566726
Overall Index,20100329,12761.60,12823.90,12761.60,12823.90,90322846
Overall Index,20100330,12831.60,12867.40,12831.60,12867.00,88019656
Overall Index,20100331,12873.70,12945.00,12873.70,12945.00,100122918
Overall Index,20100403,12959.80,13136.60,12959.80,13135.70,151297167
Overall Index,20100404,13206.50,13336.90,13206.50,13320.10,291708936
Overall Index,20100405,13324.90,13345.50,13317.00,13317.00,118231483
Overall Index,20100406,13328.90,13476.50,13328.90,13476.50,183605885
Overall Index,20100407,13519.20,13695.50,13519.20,13681.20,156520504
Overall Index,20100410,13729.20,13780.70,13729.20,13754.00,215372090
Overall Index,20100411,13779.10,13821.80,13779.10,13802.60,153871646
Overall Index,20100412,13874.00,13876.00,13826.50,13832.80,193265941
Overall Index,20100413,13894.10,13928.40,13870.00,13904.00,227328739
Overall Index,20100414,13941.60,13943.00,13903.40,13903.40,450335597
Overall Index,20100417,13888.20,13888.20,13815.70,13815.70,153860325
Overall Index,20100418,13833.30,13935.00,13833.30,13935.00,244055317
Overall Index,20100419,14015.50,14140.40,14015.50,14138.30,246656910
Overall Index,20100420,14209.80,14228.50,14185.70,14185.70,278185550
